,date,prcp
2192,2017-07-09,0.0
319,2017-07-09,0.0
971,2017-07-10,0.0
684,2017-07-10,0.0
2193,2017-07-10,0.02
320,2017-07-10,0.0
1494,2017-07-10,0.0
1856,2017-07-10,0.02
321,2017-07-11,0.0
972,2017-07-11,0.0
1495,2017-07-11,0.0
1857,2017-07-11,0.02
2194,2017-07-11,0.0
685,2017-07-11,0.01
1496,2017-07-12,0.0
1858,2017-07-12,0.28
322,2017-07-12,0.0
686,2017-07-12,0.01
973,2017-07-12,0.02
2195,2017-07-12,0.05
687,2017-07-13,0.33
2196,2017-07-13,0.68
1497,2017-07-13,0.11
1859,2017-07-13,0.32
323,2017-07-13,0.07
974,2017-07-13,0.3
1498,2017-07-14,0.0
324,2017-07-14,0.02
688,2017-07-14,0.05
2197,2017-07-14,0.68
975,2017-07-14,0.0
1860,2017-07-14,0.2
689,2017-07-15,0.03
325,2017-07-15,0.0
1861,2017-07-15,0.05
976,2017-07-15,0.01
2198,2017-07-15,0.1
1499,2017-07-15,0.0
977,2017-07-16,0.12
1862,2017-07-16,0.1
690,2017-07-16,0.07
326,2017-07-16,0.02
1500,2017-07-16,0.0
2199,2017-07-16,0.5
327,2017-07-17,0.03
2200,2017-07-17,0.39
691,2017-07-17,0.12
1501,2017-07-17,0.0
978,2017-07-17,0.16
1863,2017-07-17,0.21
2201,2017-07-18,2.4
1187,2017-07-18,0.0
692,2017-07-18,0.03
1502,2017-07-18,0.0
979,2017-07-18,0.0
1864,2017-07-18,0.05
328,2017-07-18,0.05
1503,2017-07-19,0.0
1188,2017-07-19,0.0
1865,2017-07-19,0.05
2202,2017-07-19,0.27
980,2017-07-19,0.09
693,2017-07-19,0.0
2203,2017-07-20,0.7
329,2017-07-20,0.03
981,2017-07-20,0.0
694,2017-07-20,0.12
1504,2017-07-20,0.33
1189,2017-07-20,0.0
1866,2017-07-20,0.06
1190,2017-07-21,0.0
2204,2017-07-21,0.1
1867,2017-07-21,0.03
695,2017-07-21,0.0
1505,2017-07-21,0.0
982,2017-07-21,0.0
330,2017-07-21,0.0
331,2017-07-22,0.03
1868,2017-07-22,0.2
2205,2017-07-22,4.0
696,2017-07-22,0.07
1506,2017-07-22,0.0
983,2017-07-22,0.12
984,2017-07-23,0.07
332,2017-07-23,0.0
1869,2017-07-23,0.2
2206,2017-07-23,0.8
697,2017-07-23,0.06
985,2017-07-24,1.19
2207,2017-07-24,0.84
1870,2017-07-24,0.61
698,2017-07-24,0.58
333,2017-07-24,0.05
1508,2017-07-25,0.05
986,2017-07-25,0.12
1191,2017-07-25,0.0
2208,2017-07-25,0.3
1871,2017-07-25,0.11
699,2017-07-25,0.03
334,2017-07-25,0.0
1509,2017-07-26,0.0
700,2017-07-26,0.06
335,2017-07-26,0.0
1872,2017-07-26,0.12
2209,2017-07-26,0.3
987,2017-07-26,0.02
1873,2017-07-27,0.01
701,2017-07-27,0.0
1510,2017-07-27,0.0
2210,2017-07-27,0.0
336,2017-07-27,0.0
988,2017-07-27,0.0
337,2017-07-28,0.0
702,2017-07-28,0.13
1194,2017-07-28,0.01
2211,2017-07-28,0.4
989,2017-07-28,0.14
1511,2017-07-28,0.0
1874,2017-07-28,0.09
338,2017-07-29,0.0
703,2017-07-29,0.06
1875,2017-07-29,0.23
2212,2017-07-29,0.3
1512,2017-07-29,0.0
990,2017-07-29,0.02
704,2017-07-30,0.0
1876,2017-07-30,0.0
339,2017-07-30,0.0
1513,2017-07-30,0.0
2213,2017-07-30,0.3
340,2017-07-31,0.0
1514,2017-07-31,0.0
1877,2017-07-31,0.0
2214,2017-07-31,0.0
705,2017-07-31,0.0
341,2017-08-01,0.02
992,2017-08-01,0.12
1515,2017-08-01,0.0
1516,2017-08-02,0.0
342,2017-08-02,0.0
2216,2017-08-02,0.25
993,2017-08-02,0.05
994,2017-08-03,0.01
343,2017-08-03,0.0
1517,2017-08-03,0.0
2217,2017-08-03,0.06
344,2017-08-04,0.02
1878,2017-08-04,0.0
995,2017-08-04,0.04
1518,2017-08-04,0.0
1879,2017-08-05,0.06
345,2017-08-05,0.0
346,2017-08-06,0.0
1880,2017-08-06,0.0
996,2017-08-06,0.0
1519,2017-08-06,0.0
997,2017-08-07,0.0
1520,2017-08-07,0.0
2220,2017-08-07,0.05
347,2017-08-07,0.0
1521,2017-08-08,0.0
2221,2017-08-08,0.34
348,2017-08-08,0.0
998,2017-08-08,0.1
349,2017-08-09,0.0
999,2017-08-09,0.0
2222,2017-08-09,0.15
1000,2017-08-10,0.0
350,2017-08-10,0.0
1522,2017-08-10,0.0
2223,2017-08-10,0.07
351,2017-08-11,0.0
1523,2017-08-11,0.0
1001,2017-08-11,0.0
1524,2017-08-12,0.0
352,2017-08-12,0.0
2225,2017-08-12,0.14
1525,2017-08-13,0.0
1881,2017-08-13,0.0
353,2017-08-13,0.0
2227,2017-08-14,0.22
1526,2017-08-14,0.08
354,2017-08-14,0.0
1882,2017-08-14,0.0
1003,2017-08-14,0.01
1883,2017-08-15,0.32
2228,2017-08-15,0.42
1004,2017-08-15,0.0
1527,2017-08-15,0.06
355,2017-08-15,0.02
1005,2017-08-16,0.0
2229,2017-08-16,0.42
1884,2017-08-16,0.12
1528,2017-08-16,0.07
1885,2017-08-17,0.01
1006,2017-08-17,0.0
2230,2017-08-17,0.13
1529,2017-08-17,0.05
1886,2017-08-18,0.06
356,2017-08-18,0.0
1007,2017-08-18,0.0
2232,2017-08-19,0.09
1008,2017-08-19,0.0
357,2017-08-19,0.0
358,2017-08-20,0.0
1009,2017-08-20,0.01
359,2017-08-21,0.0
1010,2017-08-21,0.02
2234,2017-08-21,0.56
1532,2017-08-22,0.0
2235,2017-08-22,0.5
360,2017-08-22,0.0
361,2017-08-23,0.0
1533,2017-08-23,0.08
1011,2017-08-23,0.0
2236,2017-08-23,0.45
